alpha,ton_cost,eta_self,eta_green,eta_grid,operating_cost,status
1.0,4550.41,0.722678,0.614098,0.138661,108177.13,Optimal
1.1,4550.41,0.722678,0.614098,0.138661,108177.13,Optimal
1.2,4550.41,0.722678,0.614098,0.138661,108177.13,Optimal
1.3,4550.41,0.722678,0.614098,0.138661,108177.13,Optimal
1.4,4550.41,0.722678,0.614098,0.138661,108177.13,Optimal
1.5,4656.02,0.614659,0.578375,0.192671,114495.64,Optimal
1.6,4656.02,0.614659,0.578375,0.192671,114495.64,Optimal
1.7,5063.38,0.279127,0.458187,0.360436,143825.24,Optimal
1.8,5063.38,0.279127,0.458187,0.360436,143825.24,Optimal
1.9,5086.86,0.266639,0.453967,0.36668,145367.32,Optimal
2.0,5086.86,0.266639,0.453967,0.36668,145367.32,Optimal
2.1,5086.86,0.266639,0.453967,0.36668,145367.32,Optimal
2.2,5334.49,0.156369,0.414446,0.421816,163196.32,Optimal
2.3,5394.97,0.124952,0.401486,0.437524,168675.86,Optimal
2.4,5394.97,0.124952,0.401486,0.437524,168675.86,Optimal
2.5,5887.89,-0.060145,0.332291,0.530073,206684.43,Optimal
2.6,5887.89,-0.060145,0.332291,0.530073,206684.43,Optimal
2.7,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
2.8,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
2.9,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
3.0,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
3.1,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
3.2,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
3.3,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
3.4,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
3.5,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
3.6,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
3.7,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
3.8,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
3.9,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
4.0,5995.22,-0.09174,0.32144,0.54587,214143.97,Optimal
